categories (L),Venue
"[  { ""S"" : ""Instagrammable"" },  { ""S"" : ""Restaurants"" },  { ""S"" : ""Vegan"" }]",Arcade Food Theatre
"[  { ""S"" : ""Restaurants"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""After Work Drinks"" },  { ""S"" : ""Rooftop"" },  { ""S"" : ""Brunch"" },  { ""S"" : ""Food With A View"" }]",Bar Elba
"[  { ""S"" : ""Date Night"" },  { ""S"" : ""Vibes"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""After Work Drinks"" },  { ""S"" : ""Rooftop"" },  { ""S"" : ""After Work Drinks"" },  { ""S"" : ""Cocktail"" },  { ""S"" : ""Rooftop"" },  { ""S"" : ""Suss Date"" },  { ""S"" : ""First Date"" },  { ""S"" : ""Client Meeting"" }]",Jin Bo Law
"[  { ""S"" : ""Vibes"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Dive Bar"" },  { ""S"" : ""Cocktail"" },  { ""S"" : ""Something Different"" },  { ""S"" : ""Outdoor Seating"" },  { ""S"" : ""Cost Effective"" },  { ""S"" : ""Catch Up With Friends"" }]",Garlic & Shots
"[  { ""S"" : ""Date Night"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""After Work Drinks"" },  { ""S"" : ""Cocktail"" },  { ""S"" : ""Suss Date"" },  { ""S"" : ""First Date"" }]",Heads + Tails
"[  { ""S"" : ""Workouts"" }]",Test Place Burnham2
"[  { ""S"" : ""Restaurants"" },  { ""S"" : ""Catch Up With Friends"" },  { ""S"" : ""Cheap Eats"" }]",El Metro
"[  { ""S"" : ""Date Night"" },  { ""S"" : ""Vibes"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""After Work Drinks"" },  { ""S"" : ""Rooftop"" },  { ""S"" : ""After Work Drinks"" },  { ""S"" : ""Cocktail"" },  { ""S"" : ""Rooftop"" },  { ""S"" : ""Suss Date"" },  { ""S"" : ""First Date"" },  { ""S"" : ""Client Meeting"" }]",Jin Bo Law
"[  { ""S"" : ""Restaurants"" },  { ""S"" : ""Date Night"" },  { ""S"" : ""Seal The Deal"" },  { ""S"" : ""Romantic"" },  { ""S"" : ""Food With A View"" },  { ""S"" : ""Girls Night"" }]",SUSHISAMBA Covent Garden
"[  { ""S"" : ""Drinks"" },  { ""S"" : ""Date Night"" },  { ""S"" : ""Activities"" },  { ""S"" : ""Something Different"" },  { ""S"" : ""Wine"" },  { ""S"" : ""Experiences"" }]",Gordon's Wine Bar
"[  { ""S"" : ""Restaurants"" },  { ""S"" : ""Something Different"" }]",Sushi Tetsu
"[  { ""S"" : ""Vibes"" },  { ""S"" : ""Restaurants"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Outdoor Seating"" },  { ""S"" : ""Food With A View"" },  { ""S"" : ""Burger Lovers"" },  { ""S"" : ""After Work Drinks"" },  { ""S"" : ""Catch Up With Friends"" }]",Rutland Arms
"[  { ""S"" : ""Restaurants"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Cheap Eats"" },  { ""S"" : ""Catch Up With Friends"" },  { ""S"" : ""Burger Lovers"" },  { ""S"" : ""Hangover Cure"" },  { ""S"" : ""Vegan"" }]",The Prince
"[  { ""S"" : ""Restaurants"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Cocktail"" },  { ""S"" : ""Outdoor Seating"" },  { ""S"" : ""Themed"" }]",Hemingways Lounge Bar
"[  { ""S"" : ""Vibes"" },  { ""S"" : ""Restaurants"" },  { ""S"" : ""Ping Verified"" },  { ""S"" : ""Vegan"" },  { ""S"" : ""Catch Up With Friends"" },  { ""S"" : ""Chill"" }]",Bondi Green
"[  { ""S"" : ""Restaurants"" },  { ""S"" : ""Catch Up With Friends"" }]",Lost Society Putney
"[  { ""S"" : ""Drinks"" },  { ""S"" : ""Rooftop"" },  { ""S"" : ""Outside"" }]",The Rooftop St. James
"[  { ""S"" : ""Date Night"" },  { ""S"" : ""Vibes"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Themed"" },  { ""S"" : ""Something Different"" },  { ""S"" : ""Instagrammable"" },  { ""S"" : ""Fun Date"" }]",Cahoots
"[  { ""S"" : ""Drinks"" },  { ""S"" : ""Rooftop"" },  { ""S"" : ""Outside"" }]",The Rooftop St. James
